"Quantity","LCSC Part Number","Value","Footprint"
"17","C476766","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
"20","C92797","10u/35v","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
"1","C965812","OTP","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"5","C2886580","SS34A","D_SMA"
"1","C965815","VCC","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
"1","C3406","IDC 2x8","IDC-Header_2x08_P2.54mm_Vertical"
"5","C133142","AON6144","AO_DFN-8-1EP_5.55x5.2mm_P1.27mm_EP4.12x4.6mm"
"2","C99269","TMP102AIDRLR","SOT-563"
"5","C20623191","UCC27517DBVR","SOT-23-5_HandSoldering"
"4","C7519","USBLC6-2SC6","SOT-23-6"
