Designator,Mid X,Mid Y,Layer,Rotation
"C101",177.500,-227.500,top,0.000
"C102",216.500,-52.500,top,180.000
"C103",221.037,-210.000,top,180.000
"C104",215.800,-225.000,top,0.000
"C105",157.000,-182.463,top,90.000
"C106",157.000,-138.537,top,90.000
"C107",173.000,-96.000,top,0.000
"C201",197.750,-70.750,top,0.000
"C301",197.750,-150.750,top,0.000
"C401",197.750,-230.750,top,0.000
"C501",168.000,-80.500,top,-90.000
"C502",172.000,-80.500,top,90.000
"C503",170.000,-80.500,top,-90.000
"C601",168.000,-120.500,top,-90.000
"C602",172.000,-120.500,top,90.000
"C603",170.000,-120.500,top,-90.000
"C701",168.000,-160.500,top,-90.000
"C702",172.000,-160.500,top,90.000
"C703",170.000,-160.500,top,-90.000
"C801",168.000,-200.500,top,-90.000
"C802",172.000,-200.500,top,90.000
"C803",170.000,-200.500,top,-90.000
"C901",168.000,-240.500,top,-90.000
"C902",172.000,-240.500,top,90.000
"C903",170.000,-240.500,top,-90.000
"D101",210.500,-67.500,top,0.000
"D102",211.500,-216.500,top,0.000
"D103",180.000,-40.000,bottom,-90.000
"J101",217.300,-67.500,top,90.000
"J102",178.890,-219.248,top,-90.000
"J103",216.000,-137.500,top,90.000
"R101",210.500,-70.500,top,0.000
"R102",207.500,-216.500,top,0.000
"R103",184.500,-141.250,top,90.000
"R104",173.000,-99.000,top,0.000
"R105",173.000,-101.000,top,180.000
"R201",202.250,-70.750,top,180.000
"R202",204.500,-52.250,top,-90.000
"R203",193.250,-70.750,top,0.000
"R301",202.250,-150.750,top,180.000
"R302",204.500,-132.250,top,-90.000
"R303",193.250,-150.750,top,0.000
"R401",202.250,-230.750,top,180.000
"R402",204.400,-212.200,top,-90.000
"R403",193.250,-230.750,top,0.000
"R501",169.000,-76.500,top,-90.000
"R502",167.000,-76.500,top,-90.000
"R503",173.000,-76.500,top,-90.000
"R504",171.000,-76.500,top,-90.000
"R601",169.000,-116.500,top,-90.000
"R602",167.000,-116.500,top,-90.000
"R603",173.000,-116.500,top,-90.000
"R604",171.000,-116.500,top,-90.000
"R701",169.000,-156.500,top,-90.000
"R702",167.000,-156.500,top,-90.000
"R703",173.000,-156.500,top,-90.000
"R704",171.000,-156.500,top,-90.000
"R801",169.000,-196.500,top,-90.000
"R802",167.000,-196.500,top,-90.000
"R803",173.000,-196.500,top,-90.000
"R804",171.000,-196.500,top,-90.000
"R901",169.000,-236.500,top,-90.000
"R902",167.000,-236.500,top,-90.000
"R903",173.000,-236.500,top,-90.000
"R904",171.000,-236.500,top,-90.000
"SW501",167.500,-72.750,bottom,-90.000
"SW601",167.500,-112.750,bottom,-90.000
"SW701",167.500,-152.750,bottom,-90.000
"SW801",167.500,-192.750,bottom,-90.000
"SW901",167.500,-232.750,bottom,-90.000
"TP101",217.500,-180.000,top,0.000
"U101",218.300,-215.000,top,0.000
"U102",166.800,-160.500,top,0.000
"U103",197.500,-100.000,top,0.000
"U201",197.500,-60.750,top,180.000
"U202",203.850,-44.972,bottom,90.000
"U203",203.850,-84.972,bottom,90.000
"U301",197.500,-140.750,top,180.000
"U302",203.850,-124.972,bottom,90.000
"U303",203.850,-164.972,bottom,90.000
"U401",197.500,-220.750,top,180.000
"U402",203.850,-204.972,bottom,90.000
"U403",203.850,-244.972,bottom,90.000
